2003.23,A, Type,Stand (face),2002-2003,24 in.,30 in.,two-channel video installation,purchased with funds from an anonymous donor and Andrea Feldman (PA 1983),G: Photography
2007.36,A, Type,Cheer (Slam),2006,18 1/2 in.,29 1/2 in.,chromogenic print,gift of the artists,G: Photography
2007.37,A, Type,Cheer,2006,single-channel video,gift of the artists,G: Photography
1948.11,Abate, Peter,Wandering,c. 1947,1 3/4 in.,5 1/8 in.,bronze,museum purchase,B: Sculpture
1937.37,Abbey, Edwin Austin,Deck of a Ship,n.d.,15 in.,10 11/16 in.,graphite, ink wash on wove paper,museum purchase,E: Work on Paper
1978.100,Abbott, Berenice,Canyon: 46th Street and Lexington Avenue, Looking West,Federal Art Project Changing New York,1936,9 7/8 in.,7 15/16 in.,gelatin silver print,museum purchase,G: Photography
1979.50.1,Abbott, Berenice,Theoline ,New York II,1979,19 5/16 in.,15 9/16 in.,gelatin silver print,gift of Robert Feldman (PA 1954) in memory of Beth Lisa Feldman,G: Photography
1979.50.2,Abbott, Berenice,Barclay Street Station,New York II,1930,15 7/16 in.,19 1/2 in.,gelatin silver print,gift of Robert Feldman (PA 1954) in memory of Beth Lisa Feldman,G: Photography
1979.50.3,Abbott, Berenice,Pennsylvania Station,New York II,1936,18 11/16 in.,15 1/2 in.,gelatin silver print,gift of Robert Feldman (PA 1954) in memory of Beth Lisa Feldman,G: Photography
1979.50.4,Abbott, Berenice,West Street,New York II,1979,15 5/8 in.,19 1/2 in.,gelatin silver print,gift of Robert Feldman (PA 1954) in memory of Beth Lisa Feldman,G: Photography
1979.50.5,Abbott, Berenice,4th Avenue Brooklyn Billboards,New York II,1979,15 9/16 in.,19 1/2 in.,gelatin silver print,gift of Robert Feldman (PA 1954) in memory of Beth Lisa Feldman,G: Photography
1979.50.6,Abbott, Berenice,EL Station Interior,New York II,1979,15 1/2 in.,19 3/8 in.,gelatin silver print,gift of Robert Feldman (PA 1954) in memory of Beth Lisa Feldman,G: Photography
1979.50.7,Abbott, Berenice,Marine Shop,New York II,1979,15 3/8 in.,19 1/2 in.,gelatin silver print,gift of Robert Feldman (PA 1954) in memory of Beth Lisa Feldman,G: Photography
1979.50.8,Abbott, Berenice,Repair Shop on Christopher Street,New York II,1979,18 9/16 in.,15 1/2 in.,gelatin silver print,gift of Robert Feldman (PA 1954) in memory of Beth Lisa Feldman,G: Photography
1979.50.9,Abbott, Berenice,Macy's Corner ,New York II,1979,15 9/16 in.,19 3/8 in.,gelatin silver print,gift of Robert Feldman (PA 1954) in memory of Beth Lisa Feldman,G: Photography
1979.50.10,Abbott, Berenice,Manhattan Bridge,New York II,1936,19 1/2 in.,15 1/2 in.,gelatin silver print,gift of Robert Feldman (PA 1954) in memory of Beth Lisa Feldman,G: Photography
1979.50.11,Abbott, Berenice,Rooster ,New York II,1979,19 9/16 in.,15 7/16 in.,gelatin silver print,gift of Robert Feldman (PA 1954) in memory of Beth Lisa Feldman,G: Photography
