two-channel video installation
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
123 gelatin silver prints
watercolor and graphite on wove paper
watercolor and graphite on wove paper
bronze
incorporated color coupler print
gelatin silver print
linocut on wove paper
oil on masonite
uninked intaglio on wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
suite of thirty-three screenprints on heavy weight wove paper
thirty three screenprints on heavy weight wove paper
screen print on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
four screenprints on heavy weight wove paper (incomplete portfolio)
incised bakelite
inkless intaglio on wove paper
tempera on paper
screenprint on heavy weight wove paper
screenprint on heavy weight wove paper
oil on canvas
watercolor, ink on illustration board
lithograph
lithograph
lithograph
lithograph
lithograph
oil on canvas
ink wash, gouache on wove paper
crayon, ink wash on wove paper
oil on canvas
gelatin silver print
mixed media
mixed media
mixed media
mixed media
mixed media
mixed media, five panels
oil on canvas
oil on canvas
watercolor on paper mounted on panel
oil on canvas
photograph
photograph
photograph
photograph
photograph
acrylic on canvas
sprayed water color
acrylic and graphite on canvas
mixed media on paper
mixed media on paper
mixed media on paper
mixed media on paper, three panels
graphite on paper
acrylic, pencil on paper
etching on paper
watercolor and ink on illustration board
ink and watercolor on illustration board
print in three parts
print
print
print
silver plated
pen and ink
polyester resin
gelatin silver print
gelatin silver print
pencil
mixed media, painted wood
ship model
two albumen prints mounted on studio card
screenprint on wove paper
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
lithograph
bound volume of lithographs
embossed paper on linen and paper on linen and board
paper on paper on board
pen on wove graph paper
embossed paper on silver foil mounted on wove paper
reproduction photograph mounted wove paper
reprduction photograph mounted on wove paper
stamp and ink on wove paper mounted on wove paper
heavy weight wove paper mounted on laid paper
in on paper mounted on wove paper
pen and marker on tissue mounted on wove paper
red and white wove paper mounted on wove paper
reproduction photograph mounted on wove paper
ink on wove paper mounted on wove paper
gelatin silver print mounted on wove paper
collage and ink on wove paper
typewriter type on wove paper
ink on paper mounted on wove paper
pen on heavy weight wove paper mounted on wove paper
presstype on tape mounted on wove paper
reproduction on photograph mounted on wove paper
two offset postcards on wove paper
currency mounted on wove paper
film contact strip mounted on wove paper
reproduction photos mounted on wove paper
reproduction photo on wove paper on wove paper
reprduction photograph mounted on wove paper
postcard mounted on wove paper
gelatin silver print mountd on wve paper
stamp and ink on tissue mounted on wove paper
embossed gold and silver foil mounted on wove paper
newsprint mounted on wove paper
reproduction photo mounted on wove paper
stamp and ink on wove paper mounted on wove paper
newsprint mounted on wove paper
type written on wove paper mounted on wove paper
marker, crayon on heavy wove paper mounted on wove paper
postcard mounted on wove paper
postcard mounted on wove paper
gelatin silver print mounted on wove paper
reproduction photo from book mounted on wove paper
stamp and ink on wove paper mounted on wove paper
wove paper mounted on wove paper
paper mounted on wove paper
stamp on wove paper mounted on gold foil mounted on wove paper
gold foil mounted card mounted on wove paper
embossed silver and gold foil on wove paper
stamps and ink, halftones mounted on wove paper on wove paper
pen and ink on wove paper on halftone on wove paper
reproduction on gold foil on photograph on wove paper
reproduction on wove paper mounted on wove paper
red wove paper mounted on wove paper
ink on tissue mounted on wove paper
on tissue mounted on wove paper
reproduction photograph mounted on wove paper
drawing
ink on blue paper
pencil on lined paper mounted on wove paper
ink on cream paper mounted on wove paper
red reproduction photo mnted on wove pap
ink and colored ink on postcard mounted on wove paper
red marker on lined heavy weight wove paper
stamp and ink on wove paper mounted on wove paper
ink on paper mounted on wove paper
fabric mounted on wove paper
ink on paper mounted on wove paper
playing card mounted on wove paper
type and colored inks on paper mounted on wove paper
reproduction photo collage mounted on wove paper
reproduction photograph mounted on wove paper
reproduction photo mounted on wove paper
gelatin silver print mounted on wove paper
type and ink on paper mounted on wove paper
in on paper mounted on card mounted on wove paper
ink on tissue mounted on wove paper
colored, pencil, pencil, and ball-point penon wove paper mounted on wove paper
pencil and colored pencil on paper mounted on wove paper
pencil on gold wove paper mounted on wove paper
postcard mounted on wove paper
gelatin silver print mounted on wve pap
gelatin silver print mounted on wove paper
oil and gold ink on cardboard mounted on wove paper
pencil on wove paper mounted on wove paper
pencil on wove paper mnted on wove paper
pencil on wove paper mounted on wove paper
ink on paper mounted on wove paper
type on paper mounted on wove paper,
reproduction photographs, type, seals, newspaper, print mounted on wove paper
reproduction phtographs mounted on wove paper
cigarette wrapper mounted on printed page mounted on wove paper
printed foil mounted on wove paper mounted on wove paper
cigarette wrapper mounted on silver foil mounted on wove paper
fabric mounted on wove paper
printed page mounted on wove paper
postcard mounted on wove paper
reprduction photograph mounted on wove paper
reprduction photograph mounted on wove paper
gelatin silver print mounted on printed page mounted on wove paper
reproduction photograph mounted on paper board
bound volume of 95 pages of collage, graphite, and ink plus one cover sheet of
twelve coated copper wires and four copper wires
two aluminum plates
ink on paper
Alnico magnets (bright), eighty-one unit square
Alnico magnets (dull), twenty unit square
wood (one saw-carved timber)
hot-rolled steel, ten-unit line, end to end, on floor, along base of wall
wood and metal
hand-colored engraving on wove paper
bronze
gelatin silver print on double weight paper
gelatin silver print on double weight paper
gelatin silver print on double weight paper
gelatin silver print on double weight paper
gelatin silver print on double weight paper
gelatin silver print on double weight paper
gelatin silver print on double weight paper
gelatin silver print on double weight paper
gelatin silver print
gelatin silver print on double weight paper
gelatin silver print on double weight paper
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
lithograph on wove paper
photogravure on tissue paper
photogravureon tissue paper
photogravure on tissue paper
photogravure on tissue paper
photogravure on tissue paper
photogravure on tissue paper
photogravure
photogravure
photogravure
photogravure
photogravure
photogravure
photogravure
photogravure
tin
silver medal in silver case
oil on canvas
oil on canvas
graphite on wove paper on cardboard
drawing
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on gray green wove paper
graphite on gray green wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on pale green wove paper
graphite on tan wove paper
graphite on tan wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper
graphite on wove paper on cardboard
bound album of thirty-four double pages; graphite on wove paper
pencil on paper
bronze
silver
woven blue and white
oak, pine, and sycamore with brass handles
silver
glass
glass
glass
glass
glass
glass
blown glass
mold blown glass
mold blown glass
blown glass with engraved decoration, pewter cap
blown glass with engraved decoration, pewter cap
blown glass with engraved decoration, pewter cap
mold blown glass
blown three mold glass
glass
glass
glass
glass
glass
glass
glass
blown glass
glass
blown in mold glass
glass
glass
mold blown glass
glass
glass
oil on canvas
oil on panel
oil on canvas
photograph
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
glass
glass
blown and tooled glass
oil on canvas lined onto masonite
silk embroidery on silk
engraving with handwriting in ink
oil on canvas mounted on board (lined?)
printed sheet with mezzotint image
silver
silver
silver
silver
silver
silver
silver
silver
silver
silver
silver
silver
silver
silver
silver
silver with wood handles
oil on canvas
carved wood (pine)
oil on canvas
silver
whale bone
glass
pine, gilded and painted
pine, carved and painted
iron
pencil on wove paper
oil on linen
brass
brass
birchbark on paper in gilt frame
leather, brasstacks
oil on canvas
oil on canvas
blown glass with engraved decoration
oil on canvas
pastel on blue-green paper mounted on linen
wood
oil on wood
oil on canvas
carved wood
oil on canvas
gilded wood
carved, painted wood
oil on canvas
oil on canvas
glass, three part mold
woodcut on wove paper
woodcut on wove paper
woodcut on wove paper
wood with polychrome decoration
glass
glass
wood
wood

ink, graphite, and watercolor on wove paper
wood (pine)
silver
engraving on wove paper
glass
pottery
brass, wood, marble, and colored glass
oil on canvas
pressed glass with metal shanks
pressed glass with metal shanks
pressed glass with metal shanks
pressed glass with metal shanks
pressed glass with pewter shank
glass with hardware
pressed glass
pressed glass
pressed glass
wood carving
wallpaper
blown glass with polychrome enamel decoration, pewter cap
blown glass with engraved decoration
pewter
pewter
pewter
pewter
pewter
pewter
pewter
pewter
pewter
engraving
oil on zinc
clear, blown and cut glass
clear, blown and cut glass
walnut with maple secondary
mahogany, mahogany veneer, pine, rosewood, brass inlays and ormolu mounts
mahogony with maple secondary, late upholstery
oil on paperboard
oil on canvas
oil on wood panel
autochrome portrait
albumen print mounted on photographer's studio card
albumen print mounted on photographer's studio card
glass negative in diascope case, mirror [autochrome and diascope]
platinum print
albumen print
albumen print
oil on canvas
oil on canvas
oil on canvas
oil on canvas
pastel and pencil
watercolor on wove paper
pencil, chalk on gray wove paper
pencil, chalk on gray wove paper
pen on wove paper?
pressed glass
glass
glass
glass
glass
glass
glass
stoneware
stoneware or earthenware
pressed glass
blown and pressed glass
pressed glass
glass
pewter
pressed glass
ceramic
ceramic
glass
pressed glass
pewter
pressed glass
pressed glass
three mold glass
glass
leaded glass
glass
glass
glass
glass
glass
glass
pressed glass, marble base
glass
glass
glass
glass
glass
glass
glass
glass
glass, pewter
glass, pewter
blown and tooled glass with pewter fittings
glass
glass
ceramic
glass
glass
pressed glass
glass
pressed glass
pressed glass
pressed glass
glass
glass
ceramic
ceramic
Parian
glass
glass
glass
glass
glass
glass
glass
glass
pressed glass
glass
whale tooth
glass
glass
quilt
fabric
gelatin silver print
albumen print mounted on card
